"";"Estimate";"Std..Error";"df";"t.value";"p";"LL";"UL"
"(Intercept)";-0,04;0,12;188,5;-0,32;0,751;-0,27;0,2
"age";0;0;29829,87;-8,11;0;0;0
"gender";0,02;0,01;35659,58;1,14;0,253;-0,01;0,04
"educ";0,03;0;35342,84;13,39;0;0,02;0,03
"resid";-0,14;0,01;35731,67;-10,19;0;-0,16;-0,11
"occupClerical support workers";0,04;0,1;35578,76;0,42;0,672;-0,15;0,24
"occupCraft and related trades workers";-0,06;0,1;35588,19;-0,6;0,548;-0,26;0,14
"occupElementary occupations";-0,01;0,1;35591,13;-0,11;0,915;-0,21;0,19
"occupManagers";0,13;0,1;35579,35;1,33;0,184;-0,06;0,33
"occupOther: Not in paid work";0,16;0,1;35719,64;1,55;0,121;-0,04;0,36
"occupPlant and machine operators, and assemblers";-0,04;0,1;35588,53;-0,41;0,684;-0,24;0,16
"occupProfessionals";0,21;0,1;35581,91;2,09;0,037;0,01;0,4
"occupRetired";0,06;0,11;35582,94;0,52;0,604;-0,16;0,28
"occupService and sales workers";0,02;0,1;35580,41;0,25;0,806;-0,17;0,22
"occupSkilled agricultural, forestry and fishery workers";0,05;0,11;35595,5;0,43;0,664;-0,16;0,25
"occupTechnicians and associate professionals";0,06;0,1;35577,81;0,59;0,557;-0,14;0,25
"occupUnemployed";-0,03;0,12;35586,9;-0,25;0,803;-0,27;0,21
